id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
1,abandon,,,,I would never abandon my child even if he's a bad boy.,
2,abatement,,,,Your abatement of taxes is due to your increased charity giving.,
3,abbreviate,abbreviates,,,She abbreviates so much that I can't understand what she's saying.,
4,abbreviation,,,,Is 'prog' an abbreviation for 'program' or 'progress'?,
5,abdomen,,,,When your abdomen hurts it could mean you need your appendix taken out.,
6,abdominal,,,,Don't ever touch me in my abdominal area; it's too painful.,
7,ability,,,,"You have many different abilities, but not the ability to dance.",
8,able,,,,I’m able to eat up to five times a day. Are you able to keep listening to me?,
9,abnormal,,,,"It’s abnormal, but I'll do it anyway. Are Sadie's mental abilities normal or abnormal?",
10,aboard,,,,Dear passengers: welcome aboard!,
11,abolish,abolishment,,,"The monarchy in Russia got abolished, so we do things differently now.",
12,above,,,,The temperature is fifty-five degrees above zero. Is it hanging above my head or below?,
13,abridge,abridged,,,I purchased an abridged version of the dictionary so it wouldn't be so heavy. Do you need the big report abridged?,
14,abroad,,,,"That guy is working abroad in Italy, I think. When are you going abroad?",
15,absence,,,,I don’t like it when people speak Russian in my physical absence. Did my absence at the party make the guests irritated?,
16,absent,absentee,,,"He is absent-minded, but always remembers when it's time to eat. Is he absent today or just in another room?",
17,absolutely,,,,I’m absolutely sure that they will show up tonight. It is absolutely a good manual.,
18,abundance,,,,"If there weren't an abundance of gifts, would you continue not to give?",
19,accent,,,,I want to accent your participation in today’s event. From where does your foreign accent come?,
20,accept,accepted,acceptance,,I accept your proposal because I like it. Are you going to accept me as I am or try to change me?,
21,acceptable,,,,It’s totally acceptable so let's start using it immediately.,
22,accident,accidental,,,My car was in an accident and the back bumper is smashed.,
23,accidentally,,,,I seem to meet him accidentally almost every day. How many friends did you make while walking throughout the city yesterday?,
24,accommodate,,,,Everything was done to accommodate you in the best possible way.,
25,accompany,accompanied,,,He accompanied me to the movies. May I accompany you to the store?,
26,accomplish,accomplished,,,That task has been successfully accomplished.,Is he an accomplished musician?
27,accordance,,,,In accordance with the laws you should quit smoking at the office.,
28,according,,,,According to my information it should be sent to them tomorrow.,
